timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,476889,410,2025-08-15 17:00:00,1755277200000
4h,407271,410,2025-08-15 16:00:00,1755273600000
1d,313400,410,2025-08-15 00:00:00,1755216000000
