timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,426059,409,2025-08-10 11:00:00,1754823600000
4h,394361,409,2025-08-10 08:00:00,1754812800000
1d,311382,409,2025-08-10 00:00:00,1754784000000
