timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,467597,410,2025-08-14 18:00:00,1755194400000
4h,404847,410,2025-08-14 16:00:00,1755187200000
1d,312996,410,2025-08-14 00:00:00,1755129600000
