timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,426865,409,2025-08-10 13:00:00,1754830800000
4h,394764,409,2025-08-10 12:00:00,1754827200000
1d,311382,409,2025-08-10 00:00:00,1754784000000
