timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,478279,410,2025-08-15 21:00:00,1755291600000
4h,407675,410,2025-08-15 20:00:00,1755288000000
1d,313400,410,2025-08-15 00:00:00,1755216000000
