timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,856921,526,2025-09-12 18:00:00,1757700000000
4h,581683,526,2025-09-12 16:00:00,1757692800000
1d,417871,526,2025-09-12 00:00:00,1757635200000
