timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,463961,410,2025-08-14 09:00:00,1755162000000
4h,404039,410,2025-08-14 08:00:00,1755158400000
1d,312996,410,2025-08-14 00:00:00,1755129600000
