timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,508005,411,2025-08-18 22:00:00,1755554400000
4h,414950,411,2025-08-18 20:00:00,1755547200000
1d,314613,411,2025-08-18 00:00:00,1755475200000
