timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,479313,410,2025-08-15 23:00:00,1755298800000
4h,407895,410,2025-08-16 00:00:00,1755302400000
1d,313804,410,2025-08-16 00:00:00,1755302400000
