timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,505575,411,2025-08-18 16:00:00,1755532800000
4h,414545,411,2025-08-18 16:00:00,1755532800000
1d,314613,411,2025-08-18 00:00:00,1755475200000
