timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,830093,523,2025-09-10 01:00:00,1757466000000
4h,575078,523,2025-09-10 00:00:00,1757462400000
1d,417042,523,2025-09-10 00:00:00,1757462400000
