timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,796913,521,2025-09-06 16:00:00,1757174400000
4h,566884,521,2025-09-06 16:00:00,1757174400000
1d,415401,521,2025-09-06 00:00:00,1757116800000
