timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,753566,520,2025-09-02 06:00:00,1756792800000
4h,555842,520,2025-09-02 04:00:00,1756785600000
1d,413764,520,2025-09-02 00:00:00,1756771200000
