timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,447821,409,2025-08-12 17:00:00,1755018000000
4h,400003,409,2025-08-12 16:00:00,1755014400000
1d,312188,409,2025-08-12 00:00:00,1754956800000
