timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,449030,409,2025-08-12 20:00:00,1755028800000
4h,400406,409,2025-08-12 20:00:00,1755028800000
1d,312188,409,2025-08-12 00:00:00,1754956800000
