timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,439761,409,2025-08-11 21:00:00,1754946000000
4h,397988,409,2025-08-11 20:00:00,1754942400000
1d,311785,409,2025-08-11 00:00:00,1754870400000
