timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,708800,518,2025-08-28 16:00:00,1756396800000
4h,544852,518,2025-08-28 16:00:00,1756396800000
1d,411727,518,2025-08-28 00:00:00,1756339200000
