timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,728721,519,2025-08-30 17:00:00,1756573200000
4h,549732,519,2025-08-30 16:00:00,1756569600000
1d,412541,519,2025-08-30 00:00:00,1756512000000
