timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,632230,517,2025-08-20 19:00:00,1755716400000
4h,525405,517,2025-08-20 16:00:00,1755705600000
1d,408485,517,2025-08-20 00:00:00,1755648000000
