timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,445000,409,2025-08-12 10:00:00,1754992800000
4h,399197,409,2025-08-12 08:00:00,1754985600000
1d,312188,409,2025-08-12 00:00:00,1754956800000
