timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,763784,521,2025-09-03 07:00:00,1756882800000
4h,558295,521,2025-09-03 04:00:00,1756872000000
1d,414174,521,2025-09-03 00:00:00,1756857600000
