timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,719767,519,2025-08-29 19:00:00,1756494000000
4h,547290,519,2025-08-29 16:00:00,1756483200000
1d,412134,519,2025-08-29 00:00:00,1756425600000
