timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,809183,521,2025-09-07 22:00:00,1757282400000
4h,569747,521,2025-09-07 20:00:00,1757275200000
1d,415810,521,2025-09-07 00:00:00,1757203200000
