timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,788324,521,2025-09-05 19:00:00,1757098800000
4h,564430,521,2025-09-05 16:00:00,1757088000000
1d,414992,521,2025-09-05 00:00:00,1757030400000
