timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,680830,517,2025-08-25 19:00:00,1756148400000
4h,537555,517,2025-08-25 16:00:00,1756137600000
1d,410510,517,2025-08-25 00:00:00,1756080000000
