timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,857749,526,2025-09-12 20:00:00,1757707200000
4h,582097,526,2025-09-12 20:00:00,1757707200000
1d,417871,526,2025-09-12 00:00:00,1757635200000
