timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,641545,517,2025-08-21 18:00:00,1755799200000
4h,527835,517,2025-08-21 16:00:00,1755792000000
1d,408890,517,2025-08-21 00:00:00,1755734400000
