timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,454445,409,2025-08-13 10:00:00,1755079200000
4h,401615,409,2025-08-13 08:00:00,1755072000000
1d,312591,409,2025-08-13 00:00:00,1755043200000
