timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,633040,517,2025-08-20 21:00:00,1755723600000
4h,525810,517,2025-08-20 20:00:00,1755720000000
1d,408485,517,2025-08-20 00:00:00,1755648000000
