timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,486181,410,2025-08-16 16:00:00,1755360000000
4h,409695,410,2025-08-16 16:00:00,1755360000000
1d,313804,410,2025-08-16 00:00:00,1755302400000
