timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,636685,517,2025-08-21 06:00:00,1755756000000
4h,526620,517,2025-08-21 04:00:00,1755748800000
1d,408890,517,2025-08-21 00:00:00,1755734400000
