timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,455478,409,2025-08-13 12:00:00,1755086400000
4h,402018,409,2025-08-13 12:00:00,1755086400000
1d,312591,409,2025-08-13 00:00:00,1755043200000
