timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,645324,517,2025-08-22 04:00:00,1755835200000
4h,529050,517,2025-08-22 04:00:00,1755835200000
1d,409295,517,2025-08-22 00:00:00,1755820800000
