timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,518431,526,2025-09-11 12:00:00,1757592000000
4h,505192,526,2025-09-11 12:00:00,1757592000000
1d,410187,526,2025-09-11 00:00:00,1757548800000
