timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,864071,526,2025-09-13 10:00:00,1757757600000
4h,583865,526,2025-09-13 08:00:00,1757750400000
1d,418811,526,2025-09-13 00:00:00,1757721600000
