timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,495257,410,2025-08-17 15:00:00,1755442800000
4h,411831,410,2025-08-17 16:00:00,1755446400000
1d,314208,410,2025-08-17 00:00:00,1755388800000
