timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,810410,521,2025-09-08 01:00:00,1757293200000
4h,570156,521,2025-09-08 00:00:00,1757289600000
1d,416219,521,2025-09-08 00:00:00,1757289600000
