timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,635065,517,2025-08-21 02:00:00,1755741600000
4h,526215,517,2025-08-21 00:00:00,1755734400000
1d,408890,517,2025-08-21 00:00:00,1755734400000
