timeframe,rows,distinct_symbols,max_ts_utc,max_ts_ms
1h,819009,522,2025-09-08 22:00:00,1757368800000
4h,572204,522,2025-09-08 20:00:00,1757361600000
1d,416220,522,2025-09-08 00:00:00,1757289600000
